SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
204.0,2.0,10.0,10.0,1076.0,41.0,97.9,1.0,1.0
647.0,2.0,10.0,13.2,1956.0,98.0,81.6,1.0,1.0
25.0,2.0,10.0,10.0,355.0,20.0,108.9,1.0,1.0
165.0,2.0,10.0,10.0,52.0,3.0,120.7,1.0,1.0
645.0,2.0,10.0,10.0,173.0,3.0,98.9,1.0,1.0
1379.0,2.0,10.0,10.0,2481.0,3.0,118.6,1.0,1.0
1378.0,2.0,49.13,10.0,9804.0,10.0,103.8,1.0,1.0
646.0,2.0,10.0,10.0,3282.0,638.0,85.8,1.0,1.0
1640.0,2.0,26.29,24.8,11199.0,226.0,92.7,1.0,1.0
1639.0,2.0,10.0,10.0,6131.0,313.0,80.0,1.0,1.0
1638.0,2.0,10.0,10.0,12997.0,116.0,86.4,1.0,1.0
1385.0,5.3,12.42,286.7,3873.0,512.0,74.0,1.0,1.0
1044.0,5.7,10.0,258.0,3654.0,561.0,80.8,1.0,1.0
642.0,10.8,22.45,10.0,460.0,150.0,46.1,1.0,1.0
1028.0,15.36,23.42,16.0,1100.0,1100.0,46.0,1.0,1.0
197.0,14.88,24.4,14.0,75.0,75.0,94.2,1.0,1.0
396.0,11.28,19.52,24.0,2400.0,1100.0,95.2,1.0,1.0
198.0,14.07,21.47,18.0,210.0,120.0,56.7,1.0,1.0
1701.0,15.33,24.4,12.0,43.0,43.0,82.8,1.0,1.0
410.0,4.5,68.0,151.8,24196.0,24196.0,107.7,1.0,1.0
1191.0,6.3,10.0,284.7,15531.0,61.0,137.1,1.0,1.0
748.0,8.3,27.52,517.3,24196.0,24196.0,90.6,1.0,1.0
749.0,22.1,31.26,17.5,24196.0,24196.0,67.4,4.83,1.03
1107.0,5.2,19.78,266.7,935.0,75.0,108.3,1.0,1.0
1033.0,2.0,14.62,735.0,598.0,41.0,97.0,1.0,1.0
1190.0,4.0,10.0,116.2,242.0,10.0,97.0,1.0,1.0
1106.0,4.3,73.13,1337.5,24196.0,3448.0,106.0,1.0,1.0
1457.0,2.0,10.0,17.4,4884.0,20.0,138.1,1.0,1.0
1428.0,2.0,10.0,24.6,2613.0,52.0,112.2,1.0,1.0
1427.0,2.0,10.0,26.4,2909.0,20.0,111.8,1.0,1.0
1041.0,2.0,10.0,11.9,3448.0,324.0,109.2,1.0,1.0
32.0,2.0,10.0,12.3,5475.0,520.0,99.5,1.0,1.0
34.0,2.0,10.0,10.1,2778.0,259.0,102.1,1.0,1.0
45.0,2.0,10.0,10.0,789.0,20.0,114.5,1.0,1.0
322.0,2.0,10.0,10.0,1210.0,20.0,109.1,1.0,1.0
1426.0,2.0,10.0,10.0,933.0,84.0,105.3,1.0,1.0
1425.0,2.0,10.0,10.0,1081.0,10.0,106.8,1.0,1.0
1424.0,2.0,10.0,13.2,1500.0,10.0,107.1,1.0,1.0
363.0,94.5,209.33,28.1,24196.0,24196.0,17.5,1.48,1.53
1678.0,2.0,10.0,24.2,1793.0,20.0,123.4,1.0,1.0
1189.0,2.0,10.0,18.5,2046.0,175.0,136.5,1.0,1.0
41.0,2.0,10.82,20.0,24196.0,1266.0,109.2,1.0,1.0
1002.0,2.0,10.0,20.0,2359.0,279.0,128.8,1.0,1.0
1197.0,2.0,10.0,10.5,6131.0,144.0,114.1,1.0,1.0
714.0,2.0,22.57,10.0,1872.0,20.0,119.0,1.0,1.0
76.0,2.0,10.0,10.0,2359.0,3.0,94.7,1.0,1.0
648.0,2.0,10.0,10.0,161.0,10.0,86.2,1.0,1.0
247.0,2.28,10.0,650.0,17890.0,5630.0,106.1,1.0,1.0
294.0,22.3,25.79,107.8,24196.0,1785.0,96.1,1.0,1.0
1034.0,2.0,10.0,80.7,15531.0,305.0,98.1,1.0,1.0
279.0,9.4,14.21,100.8,24196.0,309.0,79.9,1.0,1.0
49.0,2.0,23.41,36.9,24196.0,24196.0,97.4,1.0,1.0
420.0,2.0,26.75,10.0,24196.0,185.0,108.5,1.0,1.0
4.0,2.0,10.0,10.0,203.0,189.0,86.1,1.0,1.0
3.0,2.0,10.0,11.2,3076.0,1182.0,87.6,1.0,1.0
258.0,8.7,10.0,476.0,77010.0,6510.0,62.7,1.0,1.0
28.0,7.8,13.38,225.0,15531.0,934.0,96.4,1.0,1.0
1031.0,5.9,13.38,210.4,17329.0,3130.0,94.0,1.0,1.0
246.0,2.0,10.0,10.0,9804.0,110.0,96.0,1.0,1.0
46.0,2.0,29.26,10.0,5172.0,295.0,111.7,1.0,1.0
35.0,2.0,12.54,19.0,5172.0,318.0,108.9,1.0,1.0
1412.0,2.0,10.0,10.0,3.0,3.0,100.3,1.0,1.0
417.0,2.0,10.0,10.0,3.0,3.0,97.1,2.24,1.4
311.0,2.0,18.39,10.0,24196.0,24196.0,90.6,1.0,1.0
1383.0,2.0,10.0,10.0,17329.0,14136.0,84.3,1.0,1.0
160.0,12.0,42.72,48.0,880.0,359.0,72.9,1.0,1.0
245.0,19.5,36.21,22.5,2143.0,771.0,141.4,1.0,1.0
8.0,79.5,239.25,45.1,24196.0,24196.0,10.0,1.0,5.03
319.0,120.0,195.85,33.8,24196.0,24196.0,14.5,1.44,3.98
1017.0,2.0,10.0,20.6,24196.0,24196.0,93.6,1.0,1.0
1677.0,150.0,384.25,38.6,2419600.0,2419600.0,10.0,2.02,32.26
1676.0,86.0,240.0,35.8,2419600.0,2419600.0,10.0,1.0,1.0
980.0,95.4,116.22,44.0,2400.0,2400.0,10.0,1.21,8.2
1675.0,176.25,264.41,105.0,2419600.0,2419600.0,10.8,1.0,7.63
982.0,65.0,146.9,105.8,241960.0,241960.0,10.0,1.0,2.54
1335.0,98.2,141.42,140.0,2400.0,1100.0,10.0,1.2,5.15
1327.0,65.52,120.33,344.0,2400.0,240.0,12.0,1.28,5.88
1099.0,16.08,32.64,52.0,2400.0,460.0,53.0,1.0,1.0
1329.0,54.0,93.48,148.0,2400.0,460.0,22.8,1.18,4.88
1319.0,47.28,70.08,56.0,2400.0,1100.0,39.5,1.0,1.0
981.0,46.2,70.56,68.0,2400.0,460.0,10.7,1.0,1.0
1345.0,45.24,74.88,52.0,2400.0,2400.0,25.7,1.0,1.0
1344.0,30.3,75.36,112.0,2400.0,1100.0,23.5,1.0,1.0
403.0,17.2,54.51,62.1,24196.0,24196.0,58.9,1.0,1.0
1334.0,35.04,51.36,36.0,1100.0,460.0,10.0,1.0,1.0
1346.0,55.56,83.61,74.0,2400.0,2400.0,10.0,1.0,1.0
1340.0,54.0,67.2,70.0,2400.0,2400.0,37.8,1.0,1.0
1347.0,86.0,101.15,48.0,2400.0,2400.0,10.0,1.0,1.0
1348.0,40.2,55.68,68.0,2400.0,2400.0,10.0,1.0,1.0
109.0,7.2,44.08,43.1,6131.0,5172.0,36.6,1.0,1.0
1593.0,15.33,27.36,20.0,15.0,7.0,53.0,1.0,1.0
978.0,50.5,88.44,61.2,241960.0,241960.0,10.0,1.0,1.0
990.0,98.6,132.93,102.0,150.0,28.0,38.6,1.0,1.0
1307.0,13.74,24.13,34.0,120.0,120.0,47.1,1.0,1.0
1050.0,14.22,30.16,80.0,20.0,9.0,59.7,1.0,1.0
1351.0,45.72,70.99,62.0,2400.0,240.0,49.2,1.0,1.0
1350.0,49.08,72.38,18.0,2400.0,460.0,30.3,1.0,1.0
1559.0,4.72,15.05,10.0,959.0,464.0,96.4,1.0,1.0
42.0,22.2,67.15,182.8,2419600.0,1732900.0,65.6,1.0,1.0
993.0,19.6,57.15,481.0,307600.0,155300.0,36.6,1.0,1.0
1320.0,22.2,98.18,693.0,241960.0,241960.0,21.2,1.0,1.0
195.0,2.0,69.03,34.5,24196.0,24196.0,14.7,1.0,1.0
1321.0,12.3,72.97,44.9,24196.0,24196.0,31.5,1.0,1.0
973.0,22.6,77.33,47.7,98040.0,48840.0,97.0,1.0,1.0
212.0,73.0,341.79,241.5,547500.0,517200.0,95.5,1.0,1.96
1317.0,81.0,149.21,198.0,488400.0,270000.0,10.7,1.0,1.0
1316.0,95.5,146.38,206.5,241960.0,241960.0,10.0,1.0,1.65
1600.0,77.5,145.36,309.5,241960.0,241960.0,13.9,1.0,1.48
1523.0,29.6,78.62,191.2,228600.0,95900.0,31.8,1.0,1.0
213.0,187.5,317.44,758.0,24196.0,24196.0,10.0,1.0,1.14
1569.0,284.75,388.72,784.0,1413600.0,1413600.0,10.0,1.0,7.69
1565.0,105.5,1190.0,239.5,2419600.0,2419600.0,10.0,1.0,100.0
16.0,213.75,3253.75,1207.0,241960.0,241960.0,19.6,2.49,15.38
13.0,106.0,931.5,178.8,2419600.0,2419600.0,10.0,1.0,1.0
624.0,94.0,152.26,27.7,2419600.0,2419600.0,46.6,2.55,1.0
623.0,134.0,1731.5,479.0,241960.0,241960.0,20.9,2.55,31.25
18.0,106.5,466.75,65.4,2419600.0,2419600.0,10.0,1.0,2.16
